矩阵,场景编号,故障说明,生产入口,预期,实际,退出码,是否阻断,结论,错误码或检查名,未声明文件,阻断原因,只读,网络隔离
原始故障矩阵,I01,非目标交易品种 ETH-USD,production CLI,阻断,已阻断,1,True,通过,raw_instrument,,Stage 11 error: Raw response raw_instrument mismatch | Raw response raw_instrument mismatch,True,True
原始故障矩阵,I02,衍生品 ETH-USDT-SWAP,production CLI,阻断,已阻断,1,True,通过,raw_instrument,,Stage 11 error: Raw response raw_instrument mismatch | Raw response raw_instrument mismatch,True,True
原始故障矩阵,I03,错误数据提供方,production CLI,阻断,已阻断,1,True,通过,data_provider,,Stage 11 error: Raw response data_provider mismatch | Raw response data_provider mismatch,True,True
原始故障矩阵,I04,错误交易所,production CLI,阻断,已阻断,1,True,通过,raw_exchange,,Stage 11 error: Raw response raw_exchange mismatch | Raw response raw_exchange mismatch,True,True
原始故障矩阵,I05,缺少品种类型,production CLI,阻断,已阻断,1,True,通过,identity,,Stage 11 error: Raw projection invalid: Raw projection fields missing: ['instrument_type']; Raw response identity fields missing: ['instrument_type']; Raw response instrument_type mismatch | Raw projection invalid: Raw projection fields missing: ['instrument_type']; Raw response identity fields missing: ['instrument_type']; Raw response instrument_type mismatch,True,True
原始故障矩阵,I06,周期不是 1 小时,production CLI,阻断,已阻断,1,True,通过,bar_interval,,Stage 11 error: Raw response bar_interval mismatch | Raw response bar_interval mismatch,True,True
原始故障矩阵,I07,绕过适配器且缺少原始品种,production CLI,阻断,已阻断,1,True,通过,identity,,Stage 11 error: Raw projection invalid: Raw projection fields missing: ['raw_instrument']; Raw response identity fields missing: ['raw_instrument']; Raw response raw_instrument mismatch | Raw projection invalid: Raw projection fields missing: ['raw_instrument']; Raw response identity fields missing: ['raw_instrument']; Raw response raw_instrument mismatch,True,True
原始故障矩阵,R01,Raw 目录缺失,production CLI,阻断,已阻断,2,True,通过,does not exist,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""Raw evidence does not exist: C:\\Users\\赵\\AppData\\Local\\Temp\\stage11-fourth-reaudit-69oo0fn9\\原始矩阵\\R01\\raw"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"" | }",True,True
原始故障矩阵,R02,Raw 响应缺失,production CLI,阻断,已阻断,2,True,通过,required file missing,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: artifact Raw projection does not match preserved response"", |     ""DuckDB artifact invalid: artifact Raw projection does not match preserved response"", |     ""JSON artifact invalid: artifact Raw projection does not match preserved response"", |     ""Raw required file missing: response.json"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw required file missing: response.json"" |     ] |   } | }",True,True
原始故障矩阵,R03,Raw 响应为空,production CLI,阻断,已阻断,2,True,通过,required file empty,,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: artifact Raw projection does not match preserved response"", |     ""DuckDB artifact invalid: artifact Raw projection does not match preserved response"", |     ""JSON artifact invalid: artifact Raw projection does not match preserved response"", |     ""Raw required file empty: response.json"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw required file empty: response.json"" |     ] |   } | }",True,True
