feature_name,feature_group,description,formula,input_fields,input_dataset,window,adjustment_basis,unit,null_policy,as_of_policy,formula_version,config_source,enabled
activity_score,activity_daily,Frozen Stage 6 activity_daily feature,weighted sum of six configured component quantiles,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
large_move_frequency_120,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,120.0,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
large_move_frequency_quantile,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
limit_and_gap_event_frequency_120,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,120.0,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
limit_and_gap_event_frequency_quantile,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
turnover_amount_120,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,120.0,qfq + raw gap evidence,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
turnover_amount_quantile,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,,qfq + raw gap evidence,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
turnover_rate_120,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,120.0,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
turnover_rate_quantile,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volatility_120,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,120.0,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volatility_quantile,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_spike_frequency_120,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,120.0,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
volume_spike_frequency_quantile,activity_daily,Frozen Stage 6 activity_daily feature,configured Stage 6 activity_daily feature,registered in formula,v_stock_daily_qfq + v_stock_daily_raw,,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
current_float_market_cap_cny,current_snapshot,Frozen Stage 6 current_snapshot feature,configured Stage 6 current_snapshot feature,registered in formula,fact_stock_spot,,actual snapshot time,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,config/metric_definition.yml,True
current_market_cap_cny,current_snapshot,Frozen Stage 6 current_snapshot feature,configured Stage 6 current_snapshot feature,registered in formula,fact_stock_spot,,actual snapshot time,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,config/metric_definition.yml,True
current_pb,current_snapshot,Frozen Stage 6 current_snapshot feature,configured Stage 6 current_snapshot feature,registered in formula,fact_stock_spot,,actual snapshot time,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,config/metric_definition.yml,True
current_pe_dynamic,current_snapshot,Frozen Stage 6 current_snapshot feature,configured Stage 6 current_snapshot feature,registered in formula,fact_stock_spot,,actual snapshot time,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,config/metric_definition.yml,True
is_historical_as_of,current_snapshot,Frozen Stage 6 current_snapshot feature,false for current spot snapshots,registered in formula,fact_stock_spot,,actual snapshot time,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,config/metric_definition.yml,True
pe_status,current_snapshot,Frozen Stage 6 current_snapshot feature,configured Stage 6 current_snapshot feature,registered in formula,fact_stock_spot,,actual snapshot time,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,config/metric_definition.yml,True
debt_to_asset_ratio,financial_period,Frozen Stage 6 financial_period feature,total_liabilities / total_assets,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
gross_margin,financial_period,Frozen Stage 6 financial_period feature,1 - total_operate_cost / total_operate_income,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
net_margin,financial_period,Frozen Stage 6 financial_period feature,net_profit / total_operate_income,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
net_profit,financial_period,Frozen Stage 6 financial_period feature,configured Stage 6 financial_period feature,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
net_profit_parent,financial_period,Frozen Stage 6 financial_period feature,configured Stage 6 financial_period feature,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
net_profit_ttm,financial_period,Frozen Stage 6 financial_period feature,sum of exactly four consecutive single quarters,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
net_profit_yoy,financial_period,Frozen Stage 6 financial_period feature,net_profit_cumulative / comparable_prior_year - 1,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
operating_cf_over_net_profit,financial_period,Frozen Stage 6 financial_period feature,netcash_operate / net_profit,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
revenue,financial_period,Frozen Stage 6 financial_period feature,configured Stage 6 financial_period feature,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
revenue_ttm,financial_period,Frozen Stage 6 financial_period feature,sum of exactly four consecutive single quarters,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
revenue_yoy,financial_period,Frozen Stage 6 financial_period feature,revenue_cumulative / comparable_prior_year - 1,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
roe,financial_period,Frozen Stage 6 financial_period feature,annualized parent_net_profit / average_parent_equity,registered in formula,v_financial_point_in_time_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
main_net_inflow_cny,fund_flow_daily,Frozen Stage 6 fund_flow_daily feature,direct as-of-safe source value,registered in formula,v_stock_fund_flow_as_of_safe,,not_applicable,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
main_net_inflow_ratio,fund_flow_daily,Frozen Stage 6 fund_flow_daily feature,direct as-of-safe source decimal ratio,registered in formula,v_stock_fund_flow_as_of_safe,,not_applicable,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
daily_return_raw,limit_event,Frozen Stage 6 limit_event feature,raw_close / previous_raw_close - 1,registered in formula,v_stock_daily_raw,,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
detection_confidence,limit_event,Frozen Stage 6 limit_event feature,configured Stage 6 limit_event feature,registered in formula,v_stock_daily_raw,,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
limit_direction,limit_event,Frozen Stage 6 limit_event feature,configured Stage 6 limit_event feature,registered in formula,v_stock_daily_raw,,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
limit_status,limit_event,Frozen Stage 6 limit_event feature,configured Stage 6 limit_event feature,registered in formula,v_stock_daily_raw,,raw,count/status,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
limit_threshold,limit_event,Frozen Stage 6 limit_event feature,configured Stage 6 limit_event feature,registered in formula,v_stock_daily_raw,,raw,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,config/metric_definition.yml,True
