issue_id,severity,stage_detected,stage_origin,category,file,function,symbol,trade_date,description,expected,actual,impact,source_required,official_source_found,status,recommended_fix
ISSUE-S8-001,critical,15,8,data,data/manual/stage8/security_status/security_status_history.csv,validate_manual_dataset,ALL,2025-07-27..2026-07-27,"真实证券状态历史记录文件不存在，只有虚构样例",16 只样本窗口内每天恰好一条 ST 与一条 LISTING 记录,records_file_missing:security_status_history.csv / records_csv_empty,Stage 8 正式事件与 Stage 15 S15-14 全部阻塞,official historical security status,false,open,获取官方历史状态数据或公告事件并生成真实 CSV
ISSUE-S8-002,critical,15,8,data,data/manual/stage8/security_status/dataset.yml,validate_manual_dataset,ALL,2025-07-27..2026-07-27,dataset.yml 是虚构演示清单,真实已复核 manifest,当前为 demo approved 样例,存在被误用的风险,official manifest,false,open,替换为真实 manifest 并完成双人复核
ISSUE-S8-003,critical,15,8,source,reports/stage8_security_status_sse_historical_snapshot_audit/,status_probe,600231,600438,600763,601012,601500,601636,603259,603799,2025-07-25..2026-07-27,上交所公开接口只有当前状态快照,可证明历史状态的官方名单/快照,risk warning plate 与 A 股列表为 CURRENT_ONLY,沪市 8 只样本历史状态不可验证,SSE official historical status snapshot,false,open,取得 SSEINFO 订阅数据或等价官方历史状态证据
ISSUE-S8-004,critical,15,8,source,reports/stage8_security_status_szse_historical_snapshot_audit/,status_probe,000100,002067,002129,002230,002361,002600,300274,300433,2025-07-25..2026-07-27,深交所公开接口只有当前状态快照,可证明历史状态的官方名单/快照,fxjsb 与 A 股列表为 CURRENT_ONLY,深市 8 只样本历史状态不可验证,SZSE official historical status snapshot,false,open,取得深圳证券信息有限公司授权历史数据或等价官方历史状态证据
ISSUE-S8-005,high,15,8,data,data/manual/stage8/security_status/source_registry.yml,status_probe,ALL,2026-08-06,当前风险警示板与 A 股列表被登记为 grade A,历史状态来源应为 A 或明确不可用,登记为 A 但实为 CURRENT_ONLY,来源等级与历史可证性矛盾,official historical status,false,open,按快照审计结果把 CURRENT_ONLY 来源降级或标注为不可用于历史
ISSUE-S8-006,high,15,8,data,database/stage15_s14_fix/,build_status_manifest,ALL,2020-01-01..2026-07-27,旧 S15-14 修复使用当前名单和零公告反推历史非 ST,来源收紧后须重新验证,旧 17 条状态记录已判定无效,曾产生 77 条正式事件的错误路径,official historical status,false,resolved,以 source_probe_fix 与快照审计结论为准，禁止恢复旧状态
ISSUE-S8-007,high,15,8,testing,tests/test_stage15_s14_fix.py,test suite,ALL,ALL,测试使用合成 approved 状态数据,正式发布前需真实来源与双人复核,合成数据可通过逻辑测试,无效状态历史曾通过测试,official source evidence,false,open,增加“真实状态历史文件存在且来源为 A”的端到端门禁测试
ISSUE-S8-008,high,15,8,documentation,docs/stage15_s14_fix_report.md,不适用,ALL,2026-08-05,旧报告曾宣布阶段 15 通过,以最新来源审计为准,后被修订为 BLOCKED,误导历史结论,official source evidence,false,resolved,保留修订说明并指向最新审计文档
ISSUE-S8-009,medium,15,8,rule,data/manual/stage8/limit_rules/dataset.yml,validate_manual_dataset,ALL,2025-07-27..2026-07-27,规则草稿使用 approved_with_waiver,正式发布需双人复核 approved,verified_by_dual_review=false,规则治理风险,documentation of dual review,false,open,完成双人复核后改为 approved
ISSUE-S8-010,medium,15,8,rule,data/manual/stage8/limit_rules/limit_rules.csv,validate_rule_fields,ALL,2026-07-06..2026-07-27,2026 版沪深 ST 比例按一般条款推断,需正式规则条款确认,2026 版正文未单列 ST 比例,存在比例口径风险,official rule text confirmation,true,open,人工复核并记录确认依据
ISSUE-S8-011,medium,15,8,reporting,src/akshare_data_test/stage15_build.py,_stage8_blocker_codes,ALL,ALL,规则数据集已 READY 但 Stage 15 仍报 no_authoritative_limit_rules,区分规则与状态历史 blocker,无正式事件时返回两个配置 code,阻塞原因口径不精确,merged published config,true,open,按规则/状态/正式事件分别报告 blocker
ISSUE-S8-012,medium,15,8,schema,sql/stage8_schema.sql,reference.security_status_history,ALL,ALL,缺少 evidence_level/security_name/raw_source_id/status_event,可追溯证据等级与原始来源,当前字段未覆盖,审计追溯能力受限,not applicable,false,open,补充建议审计字段
ISSUE-S8-013,medium,15,8,data,reports/stage8_security_status_source_collection/20260806_143005/,validate_manual_dataset,ALL,2025-07-25..2026-07-27,零公告检索不能证明历史 NON_ST,需要官方历史状态快照或决定附件,当前仅 EVENT_SEARCH_ONLY,状态区间无法可靠构建,official absence evidence,false,open,获取历史状态证据后再构建 NON_ST 区间
ISSUE-S8-014,medium,15,8,source,reports/stage8_security_status_source_collection/20260806_143005/source_gap_list.csv,collector,600231,600438,600763,601012,601500,601636,603259,603799,2025-07-25..2026-07-27,上交所公告附件 PDF 被 JS 反爬拦截,取得基线/终点官方附件或等价证据,未下载成功标记 PARTIAL,沪市边界证据缺失,SSE official PDF,false,open,使用官方授权下载或等价证据补齐
ISSUE-S8-015,medium,15,8,data,data/manual/stage8/security_status/authoritative_security_status_history.csv,不适用,ALL,ALL,文件名与实现要求 security_status_history.csv 不一致,使用实现固定文件名,当前为虚构样例文件,构建器不会读取,correct file name,false,open,将真实记录写入 security_status_history.csv
ISSUE-S8-016,medium,13,8,impact,reports/stage13/,present-stage13,ALL,ALL,涨跌停图表依赖正式事件,正式事件可发布后再生成,当前无正式事件,Stage 13 涨跌停图表不可标注已验证,formal limit events,false,open,状态历史补齐后重建 Stage 13
ISSUE-S8-017,low,15,8,testing,tests/test_limit_event_detection.py,detect_limit_events,ALL,ALL,缺少真实历史 ST 状态切换边界测试,增加 ST/*ST 切换日、复牌、恢复上市测试,当前测试使用合成状态,边界行为未被真实数据覆盖,historical status fixtures,false,open,补充真实来源构造的边界测试
ISSUE-S8-018,low,15,8,testing,tests/test_stage8_manual_import.py,validate_manual_dataset,ALL,ALL,缺少 IPO/无涨跌幅限制规则测试,增加上市初期/no-limit 测试,当前窗口无 IPO 事件,能力缺口未覆盖,no-limit rule fixtures,false,open,补充 no_limit_flag 与上市初期测试
