gap_id,symbol,gap_type,description,evidence_required,severity,status
002067-grade-a-source,002067,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
002067-record-file,002067,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
002067-real-manifest,002067,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
002067-date-coverage,002067,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
002600-grade-a-source,002600,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
002600-record-file,002600,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
002600-real-manifest,002600,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
002600-date-coverage,002600,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
002230-grade-a-source,002230,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
002230-record-file,002230,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
002230-real-manifest,002230,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
002230-date-coverage,002230,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
600763-grade-a-source,600763,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
600763-record-file,600763,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
600763-real-manifest,600763,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
600763-date-coverage,600763,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
603259-grade-a-source,603259,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
603259-record-file,603259,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
603259-real-manifest,603259,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
603259-date-coverage,603259,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
603799-grade-a-source,603799,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
603799-record-file,603799,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
603799-real-manifest,603799,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
603799-date-coverage,603799,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
601012-grade-a-source,601012,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
601012-record-file,601012,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
601012-real-manifest,601012,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
601012-date-coverage,601012,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
600438-grade-a-source,600438,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
600438-record-file,600438,missing_expected_record_file,Expected security_status_history.csv does not exist,Create security_status_history.csv only after official source evidence is ready,BLOCKER,OPEN
600438-real-manifest,600438,missing_real_dataset_manifest,dataset.yml currently contains fictional demo content,Real dataset.yml with official sources and real coverage,BLOCKER,OPEN
600438-date-coverage,600438,missing_date_coverage,No real ST/LISTING intervals cover required window,One ST and one LISTING interval for every day 2025-07-27..2026-07-27,BLOCKER,OPEN
002361-grade-a-source,002361,missing_grade_a_source,No official Grade A status-history source for required window,Exchange official risk-warning/name-change/listing status announcements with effective dates covering 2025-07-27..2026-07-27,BLOCKER,OPEN
