matrix,case_id,injection,entry,expected,actual,exit_code,blocked,status,error_code,blocking_reasons,ready_in_output,read_only,network_isolated
original,I01,non-target ETH-USD,production CLI,BLOCKED,exit=1,1,True,PASS,raw_instrument,Stage 11 error: Raw response raw_instrument mismatch | Raw response raw_instrument mismatch,False,True,True
original,I02,derivative ETH-USDT-SWAP,production CLI,BLOCKED,exit=1,1,True,PASS,raw_instrument,Stage 11 error: Raw response raw_instrument mismatch | Raw response raw_instrument mismatch,False,True,True
original,I03,wrong provider,production CLI,BLOCKED,exit=1,1,True,PASS,data_provider,Stage 11 error: Raw response data_provider mismatch | Raw response data_provider mismatch,False,True,True
original,I04,wrong exchange,production CLI,BLOCKED,exit=1,1,True,PASS,raw_exchange,Stage 11 error: Raw response raw_exchange mismatch | Raw response raw_exchange mismatch,False,True,True
original,I05,missing instrument type,production CLI,BLOCKED,exit=1,1,True,PASS,identity,Stage 11 error: Raw projection invalid: Raw projection fields missing: ['instrument_type']; Raw response identity fields missing: ['instrument_type']; Raw response instrument_type mismatch | Raw projection invalid: Raw projection fields missing: ['instrument_type']; Raw response identity fields missing: ['instrument_type']; Raw response instrument_type mismatch,False,True,True
original,I06,interval is not 1h,production CLI,BLOCKED,exit=1,1,True,PASS,bar_interval,Stage 11 error: Raw response bar_interval mismatch | Raw response bar_interval mismatch,False,True,True
original,I07,missing raw instrument / adapter bypass attempt,production CLI,BLOCKED,exit=1,1,True,PASS,identity,Stage 11 error: Raw projection invalid: Raw projection fields missing: ['raw_instrument']; Raw response identity fields missing: ['raw_instrument']; Raw response raw_instrument mismatch | Raw projection invalid: Raw projection fields missing: ['raw_instrument']; Raw response identity fields missing: ['raw_instrument']; Raw response raw_instrument mismatch,False,True,True
original,R01,Raw directory missing,production CLI,BLOCKED,BLOCKED,2,True,PASS,does not exist,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""Raw evidence does not exist: C:\\Users\\赵\\AppData\\Local\\Temp\\stage11-third-reaudit-1bkd0m4o\\original\\R01\\raw"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"" | }",False,True,True
original,R02,Raw response missing,production CLI,BLOCKED,BLOCKED,2,True,PASS,required file missing,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: artifact Raw projection does not match preserved response"", |     ""DuckDB artifact invalid: artifact Raw projection does not match preserved response"", |     ""JSON artifact invalid: artifact Raw projection does not match preserved response"", |     ""Raw required file missing: response.json"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw required file missing: response.json"" |     ] |   } | }",False,True,True
original,R03,Raw response empty,production CLI,BLOCKED,BLOCKED,2,True,PASS,required file empty,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: artifact Raw projection does not match preserved response"", |     ""DuckDB artifact invalid: artifact Raw projection does not match preserved response"", |     ""JSON artifact invalid: artifact Raw projection does not match preserved response"", |     ""Raw required file empty: response.json"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw required file empty: response.json"" |     ] |   } | }",False,True,True
original,R04,Raw response damaged JSON,production CLI,BLOCKED,BLOCKED,2,True,PASS,not valid JSON,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: artifact Raw projection does not match preserved response"", |     ""DuckDB artifact invalid: artifact Raw projection does not match preserved response"", |     ""JSON artifact invalid: artifact Raw projection does not match preserved response"", |     ""Raw response.json is not valid JSON: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw response.json is not valid JSON: Expecting property name enclosed in double quotes: line 1 column 2 (char 1)"" |     ] |   } | }",False,True,True
original,R05,Raw row count mismatch,production CLI,BLOCKED,BLOCKED,2,True,PASS,response_row_count mismatch,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""Raw metadata response_row_count mismatch"", |     ""raw_manifest_file_hash_mismatch: metadata.json"", |     ""raw_manifest_file_size_mismatch: metadata.json"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw metadata response_row_count mismatch"", |       ""raw_manifest_file_hash_mismatch: metadata.json"", |       ""raw_manifest_file_size_mismatch: metadata.json"" |     ], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,R06,Raw schema hash mismatch,production CLI,BLOCKED,BLOCKED,2,True,PASS,response_schema_hash mismatch,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""Raw metadata response_schema_hash mismatch"", |     ""raw_manifest_file_hash_mismatch: metadata.json"", |     ""raw_manifest_file_size_mismatch: metadata.json"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw metadata response_schema_hash mismatch"", |       ""raw_manifest_file_hash_mismatch: metadata.json"", |       ""raw_manifest_file_size_mismatch: metadata.json"" |     ], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,R07,Raw content hash mismatch,production CLI,BLOCKED,BLOCKED,2,True,PASS,content hash mismatch,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""Raw response content hash mismatch"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""Raw response content hash mismatch"" |     ], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,R08,Raw manifest required entry omitted,production CLI,BLOCKED,BLOCKED,2,True,PASS,raw_manifest_missing_role,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""raw_manifest_missing_role: request"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""BLOCKED"", |     ""blocking_reasons"": [ |       ""raw_manifest_missing_role: request"" |     ], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,F01,CSV delete one row,production CLI,BLOCKED,BLOCKED,2,True,PASS,expected_bar_count,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: quality checks failed: ['configured_time_range', 'expected_bar_count']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 959, |   ""canonical_sha256"": null, |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,F02,CSV modify close,production CLI,BLOCKED,BLOCKED,2,True,PASS,canonical row hashes mismatch,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV artifact invalid: artifact Raw projection does not match preserved response"", |     ""CSV/JSON/DuckDB canonical row hashes mismatch: DuckDB"", |     ""CSV/JSON/DuckDB canonical row hashes mismatch: JSON"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""bb86c05320985a2f945894d51bad4da48dd3f8be49f55016ac7f6ff61c1a2b38"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,F03,JSON modify close,production CLI,BLOCKED,BLOCKED,2,True,PASS,canonical row hashes mismatch,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""CSV/JSON/DuckDB canonical row hashes mismatch: JSON"", |     ""JSON artifact invalid: artifact Raw projection does not match preserved response"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,F04,DuckDB modify source,production CLI,BLOCKED,BLOCKED,2,True,PASS,identity_invariants,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""DuckDB artifact invalid: quality checks failed: ['identity_invariants']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,F05,JSON modify instrument,production CLI,BLOCKED,BLOCKED,2,True,PASS,identity_invariants,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""JSON artifact invalid: quality checks failed: ['identity_invariants']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,F06,JSON modify timestamp,production CLI,BLOCKED,BLOCKED,2,True,PASS,configured_time_range,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""JSON artifact invalid: quality checks failed: ['hour_boundary', 'time_continuity', 'configured_time_range', 'local_utc_round_trip']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,F07,three-format primary key mismatch,production CLI,BLOCKED,BLOCKED,2,True,PASS,expected_bar_count,"{ |   ""status"": ""BLOCKED"", |   ""blocking_reasons"": [ |     ""JSON artifact invalid: quality checks failed: ['configured_time_range', 'expected_bar_count']"" |   ], |   ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", |   ""config_version"": ""1.1.0"", |   ""symbol"": ""ETHUSDT"", |   ""asset_type"": ""crypto"", |   ""trading_calendar"": ""continuous_24_7"", |   ""run_id"": ""stage11-third-reaudit-20260727"", |   ""row_count"": 960, |   ""canonical_sha256"": ""5999025965db9973a9c3659b9220f91872eaee10452662110eb55f0fd9c03366"", |   ""raw_evidence"": { |     ""status"": ""READY"", |     ""blocking_reasons"": [], |     ""row_count"": 960, |     ""schema_hash"": ""2afdc152401f74c853e5880429d0a44bf011a17599b0d67e9db3894efccb2229"", |     ""raw_projection_sha256"": ""b9c4ea7113678070bfad2a4bc72cebf6623a7d759b42877f9a333803776eaff8"" |   } | }",False,True,True
original,Q01,non-finite/non-numeric value,production CLI,BLOCKED,exit=1,1,True,PASS,Raw projection invalid,"Stage 11 error: Raw projection invalid: Unable to parse string ""not-finite"" at position 10 | Raw projection invalid: Unable to parse string ""not-finite"" at position 10",False,True,True
original,Q02,negative volume,production CLI,BLOCKED,exit=1,1,True,PASS,volume_non_negative,"Stage 11 crypto validation: BLOCKED |   symbol: ETHUSDT |   rows: 960 |   fundamental_analysis: not_applicable |   run_id: stage11-third-reaudit-20260727 | {""run_id"": ""stage11-third-reaudit-20260727"", ""run_status"": ""BLOCKED"", ""publication_status"": ""blocked"", ""as_of_date"": ""2026-07-27"", ""symbol"": ""ETHUSDT"", ""exchange"": ""OKX"", ""interval"": ""1h"", ""source"": ""okx_public_api"", ""requested_instrument"": ""ETH-USDT"", ""raw_instrument"": ""ETH-USDT"", ""normalized_instrument"": ""ETHUSDT"", ""data_provider"": ""okx_public_api"", ""raw_exchange"": ""OKX"", ""normalized_exchange"": ""OKX"", ""instrument_type"": ""spot"", ""bar_interval"": ""1h"", ""row_count"": 960, ""indicator_row_count"": 960, ""profile_row_count"": 1, ""quality_passed"": 17, ""quality_failed"": 1, ""blocking_reasons"": [""volume_non_negative""], ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", ""output_type"": ""dry_run"", ""started_at"": ""2026-08-02 16:24:44.978220+00:00"", ""completed_at"": ""2026-08-02 16:24:45.174963+00:00"", ""artifact_hash"": ""218a5900a427700d0fb6c720ec9042d80b2b8ae57678f5e990fb4e371dc89a56"", ""fundamental_analysis_status"": ""not_applicable"", ""akshare_capability_status"": ""not_run"", ""akshare_exact_match"": false, ""akshare_eth_matches"": [], ""akshare_evidence_path"": null}",False,True,True
original,Q03,missing hourly bar,production CLI,BLOCKED,exit=1,1,True,PASS,time_continuity,"Stage 11 crypto validation: BLOCKED |   symbol: ETHUSDT |   rows: 959 |   fundamental_analysis: not_applicable |   run_id: stage11-third-reaudit-20260727 | {""run_id"": ""stage11-third-reaudit-20260727"", ""run_status"": ""BLOCKED"", ""publication_status"": ""blocked"", ""as_of_date"": ""2026-07-27"", ""symbol"": ""ETHUSDT"", ""exchange"": ""OKX"", ""interval"": ""1h"", ""source"": ""okx_public_api"", ""requested_instrument"": ""ETH-USDT"", ""raw_instrument"": ""ETH-USDT"", ""normalized_instrument"": ""ETHUSDT"", ""data_provider"": ""okx_public_api"", ""raw_exchange"": ""OKX"", ""normalized_exchange"": ""OKX"", ""instrument_type"": ""spot"", ""bar_interval"": ""1h"", ""row_count"": 959, ""indicator_row_count"": 959, ""profile_row_count"": 1, ""quality_passed"": 16, ""quality_failed"": 2, ""blocking_reasons"": [""time_continuity"", ""expected_bar_count""], ""config_hash"": ""1bff05997f21258c95d0bb4394e03a835948918e152dfeaa708eb316da29fd60"", ""output_type"": ""dry_run"", ""started_at"": ""2026-08-02 16:24:46.167171+00:00"", ""completed_at"": ""2026-08-02 16:24:46.358330+00:00"", ""artifact_hash"": ""b7fd599c38322628b0941859a26ee126bc497c9f211f2752f52760f853163934"", ""fundamental_analysis_status"": ""not_applicable"", ""akshare_capability_status"": ""not_run"", ""akshare_exact_match"": false, ""akshare_eth_matches"": [], ""akshare_evidence_path"": null}",False,True,True
original,S01,crypto Stage10 isolation,analyze-fundamental --asset-type crypto --dry-run,UNCHANGED,exit=0,0,True,PASS,not_applicable,Stage 10 fundamental analysis: NOT_APPLICABLE |   publication_status: not_applicable |   reason: fundamental_analysis is not_applicable for asset_type=crypto |   run_id: 87217287-ccf4-441c-aed0-86d67577e1a4,False,True,True
