feature_name,feature_group,expected_by_config,exists_in_definition_registry,exists_in_parquet,exists_in_database,formula,window,input_dataset,adjustment_basis,unit,null_policy,as_of_policy,formula_version,status
activity_score,activity_daily,True,True,True,True,weighted sum of six configured component quantiles,,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
large_move_frequency_120,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,120.0,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
large_move_frequency_quantile,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
limit_and_gap_event_frequency_120,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,120.0,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
limit_and_gap_event_frequency_quantile,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
turnover_amount_120,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,120.0,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
turnover_amount_quantile,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
turnover_rate_120,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,120.0,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
turnover_rate_quantile,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volatility_120,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,120.0,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volatility_quantile,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_spike_frequency_120,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,120.0,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
volume_spike_frequency_quantile,activity_daily,True,True,True,True,configured Stage 6 activity_daily feature,,v_stock_daily_qfq + v_stock_daily_raw,qfq + raw gap evidence,decimal,"NULL for warm-up, zero denominator, or insufficient evidence",inputs known no later than 2026-07-27,stage6_v1,PASS
current_float_market_cap_cny,current_snapshot,True,True,True,True,configured Stage 6 current_snapshot feature,,fact_stock_spot,actual snapshot time,CNY yuan,"NULL for warm-up, zero denominator, or insufficient evidence",actual snapshot time; not historical,stage6_v1,PASS
