id,fault_input,expected_gate,actual_result,blocked,test_node,status
A1,删除中间一根K线,time_continuity/expected_bar_count,time_continuity/expected_bar_count,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[missing-time_continuity],PASS
A2,复制一根K线,primary_key_unique,primary_key_unique,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[duplicate-primary_key_unique],PASS
A3,时间戳偏移30分钟,hour_boundary/time_continuity,hour_boundary/time_continuity,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[half_hour-hour_boundary],PASS
A4,交换相邻K线顺序,time_strictly_increasing,time_strictly_increasing,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[swapped-time_strictly_increasing],PASS
A5,增加配置范围外K线,configured_time_range/expected_bar_count,configured_time_range/expected_bar_count,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[outside_range-configured_time_range],PASS
B1,raw instrument改为ETH-USD,raw_instrument mismatch,raw_instrument mismatch,True,tests/test_stage11_remediation.py::test_identity_mismatch_is_rejected_before_normalization[raw_instrument-ETH-USD-raw_instrument],PASS
B2,raw instrument改为ETH-USDT-SWAP,raw_instrument mismatch,raw_instrument mismatch,True,tests/test_stage11_remediation.py::test_identity_mismatch_is_rejected_before_normalization[raw_instrument-ETH-USDT-SWAP-raw_instrument],PASS
B3,provider改为AKShare,data_provider/source mismatch,data_provider/source mismatch,True,tests/test_stage11_remediation.py::test_identity_mismatch_is_rejected_before_normalization[data_provider-AKShare-data_provider],PASS
B4,provider改为Binance,data_provider mismatch,data_provider mismatch,True,tests/test_stage11_remediation.py::test_identity_mismatch_is_rejected_before_normalization[data_provider-binance_public_api-data_provider],PASS
B5,删除原始品种字段,identity missing fields,identity missing fields,True,tests/test_stage11_remediation.py::test_missing_identity_field_is_rejected[raw_instrument],PASS
B6,混入其他交易所,raw_exchange mismatch,raw_exchange mismatch,True,tests/test_stage11_remediation.py::test_identity_mismatch_is_rejected_before_normalization[raw_exchange-BINANCE-raw_exchange],PASS
C1,high < close,ohlc_reasonable,ohlc_reasonable,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[invalid_high-ohlc_reasonable],PASS
C2,low > open,ohlc_reasonable,ohlc_reasonable,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[invalid_low-ohlc_reasonable],PASS
C3,负成交量,volume_non_negative,volume_non_negative,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[negative_volume-volume_non_negative],PASS
C4,NaN,numeric_finite,numeric_finite,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[nan-numeric_finite],PASS
C5,Infinity,numeric_finite,numeric_finite,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[infinity-numeric_finite],PASS
C6,字符串价格,numeric_finite,numeric_finite,True,tests/test_stage11_remediation.py::test_numeric_and_time_quality_faults_are_specific[string_numeric-numeric_finite],PASS
D1,CSV删除一行,expected_bar_count,expected_bar_count,True,tests/test_stage11_remediation.py::test_validate_only_blocks_artifact_tampering[csv-delete_row-expected_bar_count],PASS
D2,JSON修改close,canonical row hashes mismatch,canonical row hashes mismatch,True,tests/test_stage11_remediation.py::test_validate_only_blocks_artifact_tampering[json-modify_close-canonical row hashes mismatch],PASS
D3,DuckDB修改provider,SQL constraint/identity_invariants,SQL constraint/identity_invariants,True,tests/test_stage11_remediation.py::test_database_constraint_rejects_provider_tampering,PASS
D4,任一格式修改timestamp,configured_time_range/canonical mismatch,configured_time_range/canonical mismatch,True,tests/test_stage11_remediation.py::test_validate_only_blocks_artifact_tampering[json-modify_timestamp-configured_time_range],PASS
E1,Raw目录缺失,Raw evidence directory missing,Raw evidence directory missing,True,tests/test_stage11_remediation.py::test_raw_evidence_contract_fails_closed[missing_dir-directory missing],PASS
E2,Raw响应文件缺失,Raw required file missing,Raw required file missing,True,tests/test_stage11_remediation.py::test_raw_evidence_contract_fails_closed[missing_response-required file missing],PASS
E3,Raw响应为空,Raw required file empty,Raw required file empty,True,tests/test_stage11_remediation.py::test_raw_evidence_contract_fails_closed[empty_response-required file empty],PASS
E4,metadata行数不一致,response_row_count mismatch,response_row_count mismatch,True,tests/test_stage11_remediation.py::test_raw_evidence_contract_fails_closed[row_count-response_row_count mismatch],PASS
E5,schema hash不一致,response_schema_hash mismatch,response_schema_hash mismatch,True,tests/test_stage11_remediation.py::test_raw_evidence_contract_fails_closed[schema_hash-response_schema_hash mismatch],PASS
F1,crypto财务helper,not_applicable,not_applicable,True,tests/test_stage11_crypto.py::test_crypto_fundamental_analysis_is_not_applicable,PASS
F3,crypto进入Stage10生产入口,not_applicable且财务读取为零,not_applicable且财务读取为零,True,tests/test_stage11_remediation.py::test_stage10_crypto_returns_not_applicable_before_any_financial_read,PASS
